trip_id,arrival_time,departure_time,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,date
20241225-29-29561,16:10:00,16:10:00,02660,Renforth Transitway Station,43.6630754344014,-79.591281189024,12240125-29,29,Guelph / Mississauga,20241225
20241130-18-18420,10:38:00,10:38:00,01005,King St. W. @ Strathcona Ave. N.,43.2614555,-79.8850708,08241224-18,18,Lakeshore West,20241130
20241216-66-66101,07:40:00,07:40:00,00021,Hwy. 9 @ Hwy. 400 Park & Ride,44.0275345,-79.5959473,12240125-66,66,East Gwillimbury / Hwy 407 Terminal,20241216
20241205-71-71961,27:08:00,27:08:00,02141,YMCA Blvd. @ Kennedy Rd.,43.8532639,-79.3093185,08241224-71,71,Stouffville,20241205
20250102-36-36190,08:40:00,08:40:00,00022,Keele St. @ Hwy. 401,43.7216759,-79.4808273,12240125-36,36,Brampton / North York Express,20250102
20241210-17-17781,22:22:00,22:22:00,02519,Guelph Central GO Bus,43.544932,-80.246388,12240125-17,17,Waterloo / Hamilton,20241210
20241217-56-56041,05:12:00,05:12:00,00902,Trafalgar Rd. @ Iroquois Shore Rd.,43.4648666,-79.6877365,12240125-56,56,Oshawa / Oakville,20241217
20241227-21-21111,08:08:00,08:08:00,01137,Aquitaine Ave. @ Montevideo Rd.,43.5907898,-79.7561111,12240125-21,21,Milton,20241227
20241201-29-29751,20:10:00,20:10:00,02660,Renforth Transitway Station,43.6630754344014,-79.591281189024,08241224-29,29,Guelph / Mississauga,20241201
20241223-71-71111,07:41:00,07:41:00,02189,Hwy. 48 @ Hoover Park Dr.,43.9565964,-79.2791214,12240125-71,71,Stouffville,20241223
20241128-41-41671,20:30:00,20:30:00,00133,Square One,43.5946693,-79.6474915,08241224-41,41,Hamilton / Pickering,20241128
20250102-56-56081,08:57:00,08:57:00,02781,Simcoe St. N. @ Britannia Ave.,43.955632,-78.899736,12240125-56,56,Oshawa / Oakville,20250102
20241230-56-56720,22:14:00,22:14:00,02764,Trafalgar Rd. @ River Oaks Blvd. E.,43.47697,-79.70504,12240125-56,56,Oshawa / Oakville,20241230
20241219-47-47153,08:55:00,08:55:00,02728,Bramalea GO Bus,43.702269,-79.690111,12240125-47,47,Hamilton / Hwy 407 Terminal,20241219
20241208-52-52281,10:25:00,10:25:00,02674,Hwy 407 Bus Terminal,43.7830713234851,-79.5244458372792,12240125-52,52,Oshawa / Hwy 407 Terminal,20241208
20250103-GT-3416,12:02:00,12:02:00,MA,Malton GO,43.705153,-79.63823,12240125-GT,KI,Kitchener,20250103
20241201-52-52621,16:48:00,16:48:00,02144,YMCA Blvd. @ Kennedy Rd.,43.8535728,-79.3085709,08241224-52,52,Oshawa / Hwy 407 Terminal,20241201
20250102-GT-3320,14:41:00,14:41:00,WE,Weston GO,43.70022,-79.514671,12240125-GT,KI,Kitchener,20250102
20241227-17-17601,17:39:00,17:39:00,00180,Aldershot GO Bus,43.313036,-79.855903,12240125-17,17,Waterloo / Hamilton,20241227
20241127-17-17601,18:12:00,18:12:00,02627,Brock Rd. S. @ Gilmour Rd.,43.466629,-80.1415634,08241224-17,17,Waterloo / Hamilton,20241127
20241216-56-56371,14:04:00,14:04:00,02144,YMCA Blvd. @ Kennedy Rd.,43.8535728,-79.3085709,12240125-56,56,Oshawa / Oakville,20241216
